config_name,hidden_activation,arch_name,architecture,seed,train_acc,val_acc,test_acc,macro_f1,epochs,elapsed_s
tanh_1L-256,tanh,1L-256,"[784, 256, 10]",0,0.9982935153583617,0.9493365500603136,0.8470164197036444,0.8005841397080629,78,142.20370584199918
tanh_1L-256,tanh,1L-256,"[784, 256, 10]",1,0.9988958040554106,0.9513470044229996,0.8486183420104125,0.8013912851851291,95,182.89243565700235
tanh_1L-256,tanh,1L-256,"[784, 256, 10]",2,0.9985946597068862,0.9529553679131484,0.8518221866239487,0.8046825787974848,105,197.52212479999798
tanh_1L-256,tanh,1L-256,"[784, 256, 10]",3,0.9980927524593455,0.9493365500603136,0.8522226672006408,0.8052644396838362,94,180.28062263000174
tanh_1L-256,tanh,1L-256,"[784, 256, 10]",4,0.9991969484039349,0.9553679131483716,0.8510212254705647,0.8040991950017613,104,203.42876433700076
logistic_1L-256,logistic,1L-256,"[784, 256, 10]",0,0.9974904637622968,0.9541616405307599,0.8534241089307169,0.8064440102233748,91,176.47157350799898
logistic_1L-256,logistic,1L-256,"[784, 256, 10]",1,0.9971893194137723,0.9541616405307599,0.8526231477773328,0.8060094081780044,93,182.58189650599888
logistic_1L-256,logistic,1L-256,"[784, 256, 10]",2,0.9970889379642642,0.9557700040209087,0.855026031237485,0.8079564299657911,85,141.10361223299697
logistic_1L-256,logistic,1L-256,"[784, 256, 10]",3,0.9965870307167235,0.952151186168074,0.8534241089307169,0.8063431492042449,87,152.53452946199832
logistic_1L-256,logistic,1L-256,"[784, 256, 10]",4,0.9962858863681991,0.9553679131483716,0.8522226672006408,0.805653098553339,80,159.0129347589973
relu_1L-256,relu,1L-256,"[784, 256, 10]",0,0.9944790202770528,0.9597909127462807,0.8658390068081698,0.8195530775385516,118,205.0535461420004
relu_1L-256,relu,1L-256,"[784, 256, 10]",1,0.9947801646255772,0.9597909127462807,0.8646375650780938,0.8180636373646477,108,176.9244823379995
relu_1L-256,relu,1L-256,"[784, 256, 10]",2,0.9937763501304959,0.9630076397265782,0.8662394873848618,0.8197938967947296,88,137.22796167000342
relu_1L-256,relu,1L-256,"[784, 256, 10]",3,0.9925717727363983,0.962605548854041,0.8622346816179415,0.8155690757457379,73,115.9554455969992
relu_1L-256,relu,1L-256,"[784, 256, 10]",4,0.9927725356354146,0.962605548854041,0.8578293952743292,0.8108657820638552,81,149.69267737799964
tanh_2L-128-64,tanh,2L-128-64,"[784, 128, 64, 10]",0,0.9990965669544268,0.9481302774427021,0.8518221866239487,0.8054805996775242,130,167.37039663600444
tanh_2L-128-64,tanh,2L-128-64,"[784, 128, 64, 10]",1,0.9988958040554106,0.9481302774427021,0.8506207448938726,0.8043721173263843,156,154.65961034000065
tanh_2L-128-64,tanh,2L-128-64,"[784, 128, 64, 10]",2,0.9994980927524594,0.9469240048250904,0.8530236283540248,0.806235175055596,144,147.8677739249979
tanh_2L-128-64,tanh,2L-128-64,"[784, 128, 64, 10]",3,0.9982935153583617,0.9541616405307599,0.8534241089307169,0.806650054184338,126,143.9792965279994
tanh_2L-128-64,tanh,2L-128-64,"[784, 128, 64, 10]",4,0.998494278257378,0.9509449135504624,0.8486183420104125,0.8014606577506219,115,123.62950701399677
logistic_2L-128-64,logistic,2L-128-64,"[784, 128, 64, 10]",0,0.9956835976711503,0.9513470044229996,0.8470164197036444,0.7998289873252913,70,71.25621366699488
logistic_2L-128-64,logistic,2L-128-64,"[784, 128, 64, 10]",1,0.9957839791206585,0.9420989143546441,0.8446135362434922,0.7976055413336659,69,69.21664163099922
logistic_2L-128-64,logistic,2L-128-64,"[784, 128, 64, 10]",2,0.995382453322626,0.950140731805388,0.8462154585502603,0.7991045698916229,68,69.68234020899399
logistic_2L-128-64,logistic,2L-128-64,"[784, 128, 64, 10]",3,0.9971893194137723,0.9469240048250904,0.8450140168201842,0.7982794137316926,74,75.30434716300078
logistic_2L-128-64,logistic,2L-128-64,"[784, 128, 64, 10]",4,0.9978919895603292,0.9517490952955368,0.8506207448938726,0.8037811788893079,80,81.84062505999464
relu_2L-128-64,relu,2L-128-64,"[784, 128, 64, 10]",0,0.9976912266613129,0.9654201849618014,0.8654385262314778,0.8192722662672882,138,130.3687807939932
relu_2L-128-64,relu,2L-128-64,"[784, 128, 64, 10]",1,0.9975908452118049,0.962605548854041,0.8658390068081698,0.8191749400546049,85,79.39338823599974
relu_2L-128-64,relu,2L-128-64,"[784, 128, 64, 10]",2,0.9964866492672154,0.9589867310012062,0.8622346816179415,0.8153893286261121,71,67.08456451699749
relu_2L-128-64,relu,2L-128-64,"[784, 128, 64, 10]",3,0.9963862678177073,0.9577804583835947,0.8618342010412495,0.8156931772481532,77,73.68865039599768
relu_2L-128-64,relu,2L-128-64,"[784, 128, 64, 10]",4,0.9966874121662317,0.9634097305991154,0.8646375650780938,0.8183543622436609,73,70.62140004199318
