config_name,architecture,n_params,mean_val_acc,std_val_acc,mean_test_acc,std_test_acc,mean_macro_f1,std_macro_f1,mean_epochs,mean_elapsed_s,std_elapsed_s
1L-32,"[784, 32, 10]",25450,0.9296340973059912,0.0028995185166578565,0.8289146976371645,0.0014638099225067643,0.7822008522618071,0.0014902679148690611,104.4,39.85995551120068,3.5926900842297913
1L-64,"[784, 64, 10]",50890,0.9423401688781665,0.0018443658932335311,0.8395674809771727,0.0015323289122714636,0.7927043441490954,0.001692183238723886,122.6,72.86193245879913,18.092954641356577
1L-128,"[784, 128, 10]",101770,0.9472456775231202,0.0035365715202728644,0.843572286744093,0.0010923653742079293,0.7967498985964495,0.001251163313682737,106.4,91.35852423780015,18.671670395872447
1L-256,"[784, 256, 10]",203530,0.9516686771210294,0.002294385624075153,0.8501401682018421,0.00200080031987132,0.803204327675255,0.0018645419520484415,95.2,155.0842259773999,15.817920653893406
2L-64-32,"[784, 64, 32, 10]",52650,0.9427422597507036,0.0033985599692988294,0.8402883460152182,0.0032966144376862863,0.7937911726879481,0.0035192192700390585,97.0,57.61300547180072,13.467392465452557
2L-128-64,"[784, 128, 64, 10]",109386,0.9496582227583433,0.0026108054814231252,0.8515018021625952,0.0017438158636024824,0.8048397207988929,0.0018586040663775727,134.2,131.42662915399924,13.97408188575634
2L-64-64,"[784, 64, 64, 10]",55050,0.9445114595898673,0.001460868687139888,0.8440528634361234,0.0017474909274546682,0.797063880831715,0.0017811298745697291,123.8,96.55040661040039,27.222955888181534
2L-40-20,"[784, 40, 20, 10]",32430,0.9353437876960193,0.004095804287333114,0.8329995995194233,0.0024426032329958997,0.7859011616421425,0.0025328864441544973,79.4,41.409153463199615,6.122816047977743
3L-64-32-16,"[784, 64, 32, 16, 10]",53018,0.9457981503819862,0.001769199839163676,0.8426912294753703,0.002367920784796838,0.7963302975921946,0.0021931012628299065,124.4,93.74282241060136,20.323639070149994
3L-64-64-64,"[784, 64, 64, 64, 10]",59210,0.9460394049055086,0.0032407626344366962,0.8432519022827393,0.004742609961742099,0.7964676673504428,0.004935268261681956,87.6,81.52608140660013,28.174488196653726
