config_name,optimizer,learning_rate,mean_val_acc,std_val_acc,mean_test_acc,std_test_acc,mean_macro_f1,std_macro_f1,mean_epochs
gd_lr1e-01,gd,0.1,0.9324487334137516,0.0019367261083703068,0.8280336403684421,0.0029818999549838213,0.7812462051550317,0.003633708646365409,171.6
gd_lr1e-02,gd,0.01,0.9227181342983514,0.004494793281055846,0.7879054865839007,0.018156572142249056,0.7188465188083784,0.033323028081373454,500.0
gd_lr1e-03,gd,0.001,0.8932046642541215,0.006426413517975741,0.7501802162595114,0.001725323126034279,0.6634481640287891,0.0015368597079711659,500.0
gd_lr1e-04,gd,0.0001,0.5648572577402493,0.02157156635832102,0.47953544253103725,0.014893570587642098,0.40168825435569494,0.022281316352031084,500.0
momentum_lr1e-01,momentum,0.1,0.9378367511057499,0.0007457674704861914,0.8342010412494995,0.0013402643596861431,0.7869941365001806,0.0013287506433193694,64.2
momentum_lr1e-02,momentum,0.01,0.9306795335745879,0.0033020450611416416,0.8263516219463355,0.00289456323581782,0.7793970200158096,0.003171302068798768,148.8
momentum_lr1e-03,momentum,0.001,0.9223160434258142,0.0041115635001734915,0.7872647176611934,0.017937596113185773,0.7179404930678628,0.033068673338733624,500.0
momentum_lr1e-04,momentum,0.0001,0.8932046642541215,0.006426413517975741,0.7502603123748498,0.0015736389831308203,0.6635216514848219,0.0013938436602411385,500.0
adam_lr1e-01,adam,0.1,0.8101326899879373,0.009893069845131079,0.679855826992391,0.0030033373262719565,0.6055295516703649,0.0028075144426970883,59.6
adam_lr1e-02,adam,0.01,0.9332529151588259,0.004426653460240562,0.8221866239487385,0.004060485976976081,0.7754415942601831,0.003710941007754347,99.2
adam_lr1e-03,adam,0.001,0.9353437876960193,0.004095804287333114,0.8329995995194233,0.0024426032329958997,0.7859011616421425,0.0025328864441544973,79.4
adam_lr1e-04,adam,0.0001,0.9318053880176921,0.006111781262565345,0.8266720064076892,0.004868104573175083,0.7787426505307752,0.0055389221288616956,159.8
